Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
160.5,0.2,0,0,-4,2301,392,7.4,3376.891773,0.750911663,0.006295917,0,2301,0.16,2750,4.303546291,0.097575068,206,-15.3290948,100,0.441838396
143.5,0.2,0.2,0,0.16,2301.6,308,7.2,2287.861153,0.929355332,0.011018242,0.124157383,2301.6,0.16,2750,3.789935405,0.093331333,152,-15.5733914,50,0.80038997
145.2,0.2,0.2,0,0.16,2301.6,308,7.2,2287.861153,0.902565697,0.011018242,0.124157383,2301.6,0.16,2750,3.789935405,0.093331333,152,-15.0152754,50,0.939114939
155.5,0.2,0.2,0,0.16,2301.6,308,7.2,2287.861153,0.535550888,0.011018242,0.124157383,2301.6,0.16,2750,3.789935405,0.093331333,152,-14.90262539,50,0.58716266
141.4,0.2,0.2,0,0.16,2301.6,308,7.2,2287.861153,0.641809187,0.011018242,0.124157383,2301.6,0.16,2750,3.789935405,0.093331333,152,-15.59591242,50,0.694104299
139,0.2,0.2,0,0.16,2301.6,308,7.2,2287.861153,0.53423547,0.011018242,0.124157383,2301.6,0.16,2750,3.789935405,0.093331333,152,-14.60189979,50,0.632713736
199.5,0.2,0,0.1,-4.92,2418.4,461,6.3,2831.064159,0.448934939,-0.021781605,0,2418.4,0.16,3290,4.156460862,0.138070985,221,-15.52005401,80,0.171627753
21.3,0.2,0,0.1,-4.92,2418.4,461,6.3,2831.064159,0.093002547,-0.021781605,0,2418.4,0.16,3290,4.156460862,0.138070985,221,-15.06647565,80,0.445938739
68.3,0.2,0,0.1,-4.92,2418.4,461,6.3,2831.064159,0.592025699,-0.021781605,0,2418.4,0.16,3290,4.156460862,0.138070985,221,-15.16908065,80,0.682187702
122.9,0.2,0,0.1,-4.92,2418.4,461,6.3,2831.064159,0.721587744,-0.021781605,0,2418.4,0.16,3290,4.156460862,0.138070985,221,-15.5880925,80,0.544913304
